movie_id,platform_id,need_pay,sample_link
1293839,2,True,http://v.youku.com/v_show/id_XNDMxNzY0ODE2.html?tpa=dW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ&refer=esfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900
1293839,6,True,http://vip.1905.com/play/962686.shtml?__hz=6e0721b2c6977135
1293839,4,False,https://www.bilibili.com/bangumi/play/ss27504?bsource=douban
1298624,3,True,http://www.iqiyi.com/v_19rrhwtpa4.html?vfm=m_331_dbdy&fv=4904d94982104144a1548dd9040df241
1298624,1,True,http://v.qq.com/x/cover/xv0kqtauy4972gp.html?ptag=douban.movie
21937445,2,False,https://v.youku.com/v_show/id_XOTA1MjI4Mzk2.html?tpa=dW5pb25faWQ9MTAzNzUzXzEwMDAwMV8wMV8wMQ&refer=baiduald1705
1295038,8,True,https://m.miguvideo.com/mgs/msite/prd/detail.html?cid=651583489&pwId=d01197d3076b4164af82983c408bb996
1295038,1,True,http://v.qq.com/x/cover/pb69zpzabgg1t7n.html?ptag=douban.movie
1295038,3,True,http://www.iqiyi.com/v_19rrifgoyw.html?vfm=m_331_dbdy&fv=4904d94982104144a1548dd9040df241
1295038,4,False,https://www.bilibili.com/bangumi/play/ss28281?bsource=douban
26752088,2,True,http://v.youku.com/v_show/id_XMzgzOTgyMzc4MA==.html?tpa=dW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ&refer=esfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900
26752088,1,True,http://v.qq.com/x/cover/og0eputlxwet1cn.html?ptag=douban.movie
26752088,3,True,http://www.iqiyi.com/v_19rreozmq8.html?vfm=m_331_dbdy&fv=4904d94982104144a1548dd9040df241
26752088,6,True,http://vip.1905.com/play/1348058.shtml?__hz=6e0721b2c6977135
1291548,1,True,http://v.qq.com/x/cover/vpbpk93xbkkwa8q.html?ptag=douban.movie
1299131,3,True,http://www.iqiyi.com/v_19rrg3joh0.html?vfm=m_331_dbdy&fv=4904d94982104144a1548dd9040df241
1299131,2,True,https://v.youku.com/v_show/id_XMTY4ODA5NTk3Mg==.html?spm=a2h0c.8166622.PhoneSokuProgram_1.dtitle
1299131,1,True,http://v.qq.com/x/cover/c2f26xjegzuyi16.html?ptag=douban.movie
1299131,4,False,https://www.bilibili.com/bangumi/play/ss26427?bsource=douban
1299131,6,True,http://vip.1905.com/play/1409133.shtml?__hz=6e0721b2c6977135
1291572,8,True,https://m.miguvideo.com/mgs/msite/prd/detail.html?cid=668983300&pwId=d01197d3076b4164af82983c408bb996
1291572,1,True,http://v.qq.com/x/cover/e2rt42iw6cv1ndq.html?ptag=douban.movie
1291572,3,True,http://www.iqiyi.com/v_19rra68cjk.html?vfm=m_331_dbdy&fv=4904d94982104144a1548dd9040df241
1291572,4,False,https://www.bilibili.com/bangumi/play/ss33034?bsource=douban
1301753,1,True,http://v.qq.com/x/cover/lh4cj69w87hfodz.html?ptag=douban.movie
1900841,1,False,http://v.qq.com/x/cover/ih84bi86nzujfs5.html?ptag=douban.movie
1900841,4,False,https://www.bilibili.com/bangumi/play/ss10081?bsource=douban
